cam_id,name,place,country,lat,lon,view,traffic,stream_url,stream_type,ais_coverage,near_poi,source_type,tos_note,verified
CAM-STOREBAELT-E,Storebaelt East Bridge pylon cam,Great Belt / Halsskov-Korsor,DK,55.336,11.034,Shipping lane under the East Bridge + open Great Belt,"high (transit + ferry)",https://storebaelt.dk/en/traffic-weather/webcams/,official-site (JS player),Danish-AIS strong + AISStream live,Great Belt chokepoint (chokepoints.geojson),Bridge operator (Sund & Baelt),"Official operator cam; display ok. Confirm record/redistribute terms before storing clips.",source-found 2026-06-08; confirm live + resolve HLS on-site
CAM-STOREBAELT-SPROGO,Storebaelt Sprogo island cam,Sprogo island,DK,55.331,10.972,Strait + bridge spans,"high (transit)",https://storebaelt.dk/en/traffic-weather/webcams/,official-site (JS player),Danish-AIS strong + AISStream live,Great Belt chokepoint,Bridge operator (Sund & Baelt),"Same operator/terms as East Bridge cam.",source-found 2026-06-08; confirm live
CAM-HELSINGOR-PORT,Helsingor harbour / Oresund HD cam,Helsingor,DK,56.036,12.613,Harbour basin + Oresund narrows toward Helsingborg,"high (20-min ferry cycle + transit)",https://www.webcamtaxi.com/en/denmark/capital-region-of-denmark/helsingor-port.html,aggregator embed (HD),Danish-AIS strong + AISStream live,Oresund chokepoint,Aggregator re-embed,"Aggregator re-embeds a 3rd-party feed; prefer the original source if identifiable. Display ok; verify capture rights.",source-found 2026-06-08; confirm live
CAM-HELSINGBORG-PORT,Port of Helsingborg quay cam,Helsingborg,SE,56.044,12.692,Ferry berths + Oresund,"high (ferry)",https://www.port.helsingborg.se/en/state-of-port/,official-site (image refresh ~30s),Danish-AIS strong + AISStream live,Oresund chokepoint,Port authority,"Official port cam; still-image refresh (~30s) not full video. Reported offline May 2026 - verify.",reported-offline May 2026; verify
CAM-KIEL-HOLTENAU,Kiel Canal locks (Kiel-Holtenau) live,Kiel-Holtenau,DE,54.366,10.158,Lock chamber - vessels transit slowly through a tight gate,"very high (canal transit)",https://www.youtube.com/watch?v=ll6Yep9Va5o,YouTube live,Danish-AIS strong-medium + AISStream live,Kiel Canal Baltic gateway,YouTube live channel,"YouTube ToS: no permanent re-streaming; short clips for internal model-dev low-risk, do not redistribute.",video-id found 2026-06-08; IDs rotate - use channel as durable entry
CAM-BRUNSBUTTEL,Brunsbuttel lock (Kiel Canal / Elbe) live,Brunsbuttel,DE,53.890,9.140,Lock + Elbe estuary traffic,"very high",https://www.youtube.com/watch?v=kLNhyIv8hfw,YouTube live,N/A (North Sea side) - AISStream live,"Kiel Canal, North Sea end - dev-only, NOT Baltic waters",YouTube live channel,"Same YouTube ToS caveat. Geography is North Sea/Elbe - use for detector dev, not the Baltic demo.",video-id found 2026-06-08; IDs rotate
CAM-KIEL-PORT,Port of Kiel ferry/cruise terminal cam,Kiel,DE,54.318,10.139,Schwedenkai berths - Stena/Color Line ferries + cruise,"medium-high",https://www.portofkiel.com/webcam-en.html,official-site (JS player) + YouTube (KielerSeehafen),Danish-AIS strong-medium + AISStream live,SW Baltic approaches,Port authority,"Official port cam + linked YouTube channel. Display ok; verify capture terms.",source-found 2026-06-08; confirm live
CAM-WARNEMUNDE,Warnemunde harbour entrance (Rostock),Warnemunde / Rostock,DE,54.179,12.084,"Harbour mouth + Baltic - cruise ships, ferries, yachts","medium-high (seasonal cruise)",https://livespotting.tv/deutschland/rostock/4vd3itwp,operator livestream (livespotting),Danish-AIS medium + AISStream live,SW Baltic approaches,Livestream operator (livespotting),"Commercial operator; embed/display per their terms. Ask before storing/redistributing clips.",source-found 2026-06-08; confirm live
CAM-HELSINKI-SOUTH,Port of Helsinki South Harbour cam,Helsinki Etelasatama,FI,60.166,24.956,Harbour basin + ferry berths,"high (ferry)",https://portofhelsinki.fi/en/port-helsinki/web-cameras/south-harbour,official-site (JS player),Danish-AIS WEAK; AISStream live only,Gulf of Finland - near Balticconnector (INC-2023-10-08) & Estlink-2 (INC-2024-12-25),Port authority,"Official port cam. Display ok; verify capture terms.",source-found 2026-06-08; confirm live
CAM-HELSINKI-WEST,Helsinki West Harbour (Lansisatama) cam,Helsinki Jatkasaari,FI,60.153,24.913,Busy passenger-ferry port toward Tallinn,"very high (Tallinn ferry corridor)",https://www.webcamexplore.com/countries/finland/uusimaa/helsinki/helsinki-west-harbour-live-webcam-baltic-sea-ferry-traffic,aggregator/operator embed,Danish-AIS WEAK; AISStream live only,Gulf of Finland - Helsinki-Tallinn corridor near Balticconnector/Estlink,Aggregator/operator,"Verify original source + capture rights.",source-found 2026-06-08; confirm live
CAM-TALLINN-PORT,Tallinn Old City Harbour cam,Tallinn,EE,59.445,24.764,Harbour + Gulf of Finland toward Helsinki,"very high (Helsinki ferry corridor)",https://balticlivecam.com/cameras/estonia/tallinn/,operator livestream (BalticLiveCam),Danish-AIS WEAK; AISStream live only,Gulf of Finland - near Balticconnector/Estlink incidents,Livestream operator (BalticLiveCam),"Commercial operator; embed/display per terms. Ask before storing clips.",source-found 2026-06-08; confirm live
CAM-RIGA-PORT,Freeport of Riga port cams,Riga,LV,57.060,24.020,Quays + Daugava river mouth to Gulf of Riga,"medium",https://rop.lv/en/port-webcams,official-site (JS player),Danish-AIS WEAK; AISStream live only,E Baltic / Gulf of Riga,Port authority,"Official port-authority cams. Display ok; verify capture terms.",source-found 2026-06-08; confirm live
